city,state_id,lat,lng,population,timezone
Grambling,LA,32.5276,-92.7124,5150,America/Chicago
Blauvelt,NY,41.0689,-73.9545,5152,America/New_York
Grosse Pointe,MI,42.3915,-82.9118,5154,America/Toronto
Erwin,NC,35.3226,-78.6734,5156,America/New_York
River Ridge,FL,28.2669,-82.6257,5157,America/New_York
Lake City,MN,44.4453,-92.2796,5162,America/Chicago
Crawfordville,FL,30.1995,-84.3634,5164,America/New_York
Creve Coeur,IL,40.6425,-89.5983,5169,America/Chicago
Sterling,AK,60.5405,-150.8089,5169,America/Anchorage
Broadmoor,CA,37.6914,-122.4811,5170,America/Los_Angeles
Grandwood Park,IL,42.3929,-87.9871,5170,America/Chicago
West Pleasant View,CO,39.7320,-105.1785,5173,America/Denver
Collegeville,PA,40.1873,-75.4581,5174,America/New_York
Dunlap,TN,35.3675,-85.3899,5176,America/Chicago
Doffing,TX,26.2788,-98.3856,5176,America/Chicago
Parker,TX,33.0570,-96.6248,5177,America/Chicago
Tichigan,WI,42.8087,-88.2150,5179,America/Chicago
Boulder Creek,CA,37.1341,-122.1271,5182,America/Los_Angeles
Mount Olive,NC,35.1997,-78.0662,5183,America/New_York
Attica,IN,40.2874,-87.2452,5187,America/Indiana/Indianapolis
Sawmills,NC,35.8162,-81.4779,5189,America/New_York
Paulden,AZ,34.8899,-112.4938,5189,America/Phoenix
DeWitt,IA,41.8227,-90.5448,5192,America/Chicago
Obetz,OH,39.8671,-82.9451,5196,America/New_York
Twin Lakes,CA,36.9646,-121.9896,5196,America/Los_Angeles
West Wendover,NV,40.7407,-114.0783,5197,America/Los_Angeles
Springfield,MI,42.3246,-85.2371,5198,America/Detroit
Timber Pines,FL,28.4690,-82.5999,5198,America/New_York
Ocean Bluff-Brant Rock,MA,42.1006,-70.6625,5199,America/New_York
Thatcher,AZ,32.8320,-109.7595,5200,America/Phoenix
South Bay,FL,26.6770,-80.7265,5200,America/New_York
Ettrick,VA,37.2435,-77.4287,5201,America/New_York
Williamston,NC,35.8468,-77.0655,5202,America/New_York
Ravena,NY,42.4755,-73.8113,5202,America/New_York
Diboll,TX,31.1881,-94.7830,5204,America/Chicago
Hutchinson Island South,FL,27.3243,-80.2425,5204,America/New_York
Aberdeen,MS,33.8287,-88.5539,5205,America/Chicago
Montrose,MN,45.0668,-93.9206,5208,America/Chicago
Pinardville,NH,43.0010,-71.5171,5208,America/New_York
Naguabo,PR,18.2116,-65.7370,5210,America/Puerto_Rico
Cutler,CA,36.5263,-119.2884,5214,America/Los_Angeles
Farmers Loop,AK,64.9061,-147.6957,5214,America/Anchorage
Center,TX,31.7930,-94.1796,5215,America/Chicago
Layhill,MD,39.0870,-77.0401,5216,America/New_York
Elmsford,NY,41.0541,-73.8143,5216,America/New_York
Gilmer,TX,32.7317,-94.9460,5220,America/Chicago
Williamsville,NY,42.9623,-78.7418,5220,America/New_York
Myrtletown,CA,40.7888,-124.1286,5222,America/Los_Angeles
Union City,IN,40.1995,-84.8206,5223,America/New_York
Springfield,GA,32.3634,-81.3029,5224,America/New_York
Highwood,IL,42.2060,-87.8128,5224,America/Chicago
Chisago City,MN,45.3474,-92.9116,5224,America/Chicago
Bisbee,AZ,31.4126,-109.9179,5225,America/Phoenix
Albertson,NY,40.7715,-73.6482,5225,America/New_York
Byron,GA,32.6474,-83.7541,5226,America/New_York
Ballston Spa,NY,43.0068,-73.8525,5226,America/New_York
Hollywood,SC,32.7523,-80.2106,5227,America/New_York
Hendron,KY,37.0346,-88.6437,5228,America/Chicago
Bangor,PA,40.8678,-75.2085,5228,America/New_York
Lake Wildwood,CA,39.2350,-121.2003,5232,America/Los_Angeles
Salem,NJ,39.5681,-75.4724,5235,America/New_York
Ranson,WV,39.3250,-77.8666,5239,America/New_York
Briar,TX,32.9884,-97.5528,5241,America/Chicago
Livingston,TX,30.7100,-94.9381,5242,America/Chicago
Walkertown,NC,36.1578,-80.1642,5242,America/New_York
Osceola,IA,41.0302,-93.7829,5242,America/Chicago
Yarmouth Port,MA,41.7100,-70.2257,5242,America/New_York
Poolesville,MD,39.1423,-77.4102,5244,America/New_York
Odessa,MO,38.9988,-93.9666,5246,America/Chicago
Calistoga,CA,38.5818,-122.5824,5247,America/Los_Angeles
Perry,UT,41.4648,-112.0401,5248,America/Denver
Carlyss,LA,30.1761,-93.3704,5248,America/Chicago
Santa Isabel,PR,17.9687,-66.4049,5248,America/Puerto_Rico
Venus,TX,32.4312,-97.1020,5252,America/Chicago
Giddings,TX,30.1833,-96.9279,5254,America/Chicago
Pecan Acres,TX,32.9703,-97.4727,5259,America/Chicago
Belvedere,SC,33.5369,-81.9424,5262,America/New_York
Delhi Hills,OH,39.0871,-84.6178,5266,America/New_York
Rothschild,WI,44.8761,-89.6173,5267,America/Chicago
Hawkinsville,GA,32.2964,-83.4814,5270,America/New_York
Forsyth,GA,33.0347,-83.9381,5270,America/New_York
Ripley,MS,34.7321,-88.9444,5273,America/Chicago
Wadesboro,NC,34.9645,-80.0746,5275,America/New_York
Red Oak,IA,41.0141,-95.2248,5276,America/Chicago
Cave Springs,AR,36.2701,-94.2225,5276,America/Chicago
Grayson,KY,38.3317,-82.9371,5277,America/New_York
Big Bear Lake,CA,34.2429,-116.8951,5279,America/Los_Angeles
Titusville,PA,41.6273,-79.6699,5279,America/New_York
St. Clair,MI,42.8262,-82.4930,5279,America/Detroit
Midway,UT,40.5183,-111.4745,5280,America/Denver
Old Bethpage,NY,40.7557,-73.4544,5283,America/New_York
South Sarasota,FL,27.2856,-82.5333,5283,America/New_York
Lake Fenton,MI,42.8453,-83.7086,5284,America/Detroit
Garnet,CA,33.9179,-116.4796,5285,America/Los_Angeles
Zephyrhills West,FL,28.2311,-82.2052,5287,America/New_York
Iola,KS,37.9274,-95.4006,5288,America/Chicago
Orange,VA,38.2486,-78.1127,5291,America/New_York
Kahaluu-Keauhou,HI,19.5726,-155.9580,5291,Pacific/Honolulu
Kings Point,NY,40.8162,-73.7407,5292,America/New_York
Bear Valley Springs,CA,35.1775,-118.6460,5292,America/Los_Angeles
Mount Carmel,TN,36.5620,-82.6618,5294,America/New_York
Waynesville,MO,37.8207,-92.2200,5295,America/Chicago
Paxtonia,PA,40.3166,-76.7884,5296,America/New_York
Bulverde,TX,29.7744,-98.4364,5300,America/Chicago
Brady,TX,31.1322,-99.3697,5302,America/Chicago
Brent,AL,32.9421,-87.1753,5302,America/Chicago
Eagleville,PA,40.1604,-75.4090,5302,America/New_York
Hightstown,NJ,40.2686,-74.5253,5304,America/New_York
Fairport,NY,43.0990,-77.4427,5305,America/New_York
Union Beach,NJ,40.4454,-74.1699,5305,America/New_York
Pawcatuck,CT,41.3774,-71.8492,5305,America/New_York
Savannah,MO,39.9391,-94.8279,5307,America/Chicago
Fruitland,MD,38.3214,-75.6246,5309,America/New_York
Fort Rucker,AL,31.3428,-85.7154,5311,America/Chicago
Minot AFB,ND,48.4209,-101.3381,5312,America/Chicago
Lehighton,PA,40.8306,-75.7166,5313,America/New_York
Uhrichsville,OH,40.4005,-81.3515,5314,America/New_York
McKenzie,TN,36.1371,-88.5077,5315,America/Chicago
Shillington,PA,40.3029,-75.9670,5319,America/New_York
Hawaiian Beaches,HI,19.5423,-154.9223,5320,Pacific/Honolulu
Avondale,LA,29.9072,-90.1933,5321,America/Chicago
Wake Village,TX,33.4240,-94.1188,5327,America/Chicago
Kensington,CA,37.9084,-122.2805,5329,America/Los_Angeles
Westernport,MD,39.4880,-79.0429,5330,America/New_York
McGregor,TX,31.4187,-97.4283,5331,America/Chicago
Jonesboro,LA,32.2348,-92.7098,5333,America/Chicago
Morris,MN,45.5856,-95.9048,5333,America/Chicago
Edgewater,CO,39.7507,-105.0626,5335,America/Denver
Palmerton,PA,40.8023,-75.6160,5336,America/New_York
San Leon,TX,29.4901,-94.9403,5336,America/Chicago
Morganfield,KY,37.6869,-87.8876,5337,America/Chicago
Apple Valley,OH,40.4389,-82.3481,5337,America/New_York
Macon,MO,39.7424,-92.4712,5341,America/Chicago
East Quogue,NY,40.8489,-72.5783,5343,America/New_York
Travelers Rest,SC,34.9684,-82.4417,5346,America/New_York
Rincon Valley,AZ,32.1101,-110.6889,5346,America/Phoenix
Williamson,AZ,34.7082,-112.5342,5347,America/Phoenix
Caruthersville,MO,36.1814,-89.6664,5348,America/Chicago
Port LaBelle,FL,26.7493,-81.3876,5348,America/New_York
Mattawa,WA,46.7370,-119.9040,5349,America/Los_Angeles
Shepherdstown,WV,39.4318,-77.8048,5351,America/New_York
North Oaks,MN,45.1002,-93.0882,5351,America/Chicago
Anthony,TX,31.9876,-106.5933,5352,America/Denver
Englewood Cliffs,NJ,40.8822,-73.9466,5354,America/New_York
James City,NC,35.0592,-77.0200,5354,America/New_York
Hockinson,WA,45.7302,-122.4833,5355,America/Los_Angeles
Añasco,PR,18.2860,-67.1411,5355,America/Puerto_Rico
Ward,AR,35.0117,-91.9577,5358,America/Chicago
St. Paul Park,MN,44.8360,-92.9949,5362,America/Chicago
Simonton Lake,IN,41.7478,-85.9657,5362,America/Detroit
Penn Estates,PA,41.0346,-75.2417,5363,America/New_York
Sunset,UT,41.1392,-112.0285,5364,America/Denver
Wind Lake,WI,42.8230,-88.1573,5364,America/Chicago
Clarinda,IA,40.7380,-95.0340,5366,America/Chicago
Manchester,MD,39.6584,-76.8881,5367,America/New_York
Kaser,NY,41.1214,-74.0686,5368,America/New_York
Estacada,OR,45.2987,-122.3338,5368,America/Los_Angeles
Chackbay,LA,29.8817,-90.7742,5368,America/Chicago
Polson,MT,47.6886,-114.1411,5370,America/Denver
Cavalero,WA,47.9846,-122.0743,5370,America/Los_Angeles
Cleveland,GA,34.5971,-83.7621,5372,America/New_York
Lisbon,OH,40.7752,-80.7628,5372,America/New_York
Caldwell,OH,39.7467,-81.5127,5374,America/New_York
Orwigsburg,PA,40.6541,-76.1040,5376,America/New_York
Citrus Park,AZ,33.5304,-112.4440,5376,America/Phoenix
Bellows Falls,VT,43.1344,-72.4550,5381,America/New_York
Exton,PA,40.0307,-75.6303,5382,America/New_York
Winterset,IA,41.3457,-94.0137,5383,America/Chicago
Lemmon Valley,NV,39.6879,-119.8364,5383,America/Los_Angeles
La Grange,TX,29.9129,-96.8767,5384,America/Chicago
Berlin,WI,43.9704,-88.9505,5385,America/Chicago
Central,SC,34.7234,-82.7787,5385,America/New_York
Northfield,IL,42.1026,-87.7791,5386,America/Chicago
Warm Mineral Springs,FL,27.0469,-82.2702,5390,America/New_York
Manitou Springs,CO,38.8576,-104.9128,5390,America/Denver
Smiths Station,AL,32.5284,-85.0960,5391,America/Chicago
New Castle,DE,39.6685,-75.5692,5392,America/New_York
Pinckneyville,IL,38.0851,-89.3718,5393,America/Chicago
Centerport,NY,40.8943,-73.3714,5394,America/New_York
Palermo,CA,39.4313,-121.5225,5395,America/Los_Angeles
Floral City,FL,28.7065,-82.3090,5395,America/New_York
Friendship Heights Village,MD,38.9633,-77.0900,5396,America/New_York
Algona,IA,43.0743,-94.2302,5397,America/Chicago
Mocksville,NC,35.9006,-80.5631,5397,America/New_York
Valatie,NY,42.4134,-73.6778,5400,America/New_York
Valparaiso,FL,30.4926,-86.5079,5401,America/Chicago
Salamanca,NY,42.1631,-78.7233,5402,America/New_York
East Port Orchard,WA,47.5193,-122.6183,5407,America/Los_Angeles
Canal Fulton,OH,40.8895,-81.5882,5408,America/New_York
Holdrege,NE,40.4395,-99.3773,5408,America/Chicago
Coal City,IL,41.2772,-88.2803,5409,America/Chicago
New Hempstead,NY,41.1488,-74.0485,5410,America/New_York
Chadron,NE,42.8260,-103.0025,5412,America/Denver
Ferriday,LA,31.6343,-91.5562,5412,America/Chicago
Denver City,TX,32.9680,-102.8318,5413,America/Chicago
Angier,NC,35.5120,-78.7405,5415,America/New_York
Batesburg-Leesville,SC,33.9125,-81.5313,5415,America/New_York
Lafayette,TN,36.5242,-86.0307,5417,America/Chicago
Jackson,GA,33.2920,-83.9678,5418,America/New_York
Monaca,PA,40.6833,-80.2736,5421,America/New_York
Waynesboro,GA,33.0909,-82.0146,5422,America/New_York
Shady Side,MD,38.8285,-76.5211,5423,America/New_York
Coraopolis,PA,40.5148,-80.1627,5424,America/New_York
Rockwood,TN,35.8693,-84.6731,5425,America/New_York
Fruitland,ID,44.0195,-116.9221,5426,America/Boise
Honeoye Falls,NY,42.9557,-77.5903,5428,America/New_York
Black River Falls,WI,44.2981,-90.8420,5430,America/Chicago
St. Augustine South,FL,29.8449,-81.3156,5431,America/New_York
Northwood,OH,41.6089,-83.4836,5434,America/New_York
South Highpoint,FL,27.9086,-82.7162,5435,America/New_York
Gilbertsville,PA,40.3219,-75.6090,5438,America/New_York
Robbins,IL,41.6431,-87.7080,5438,America/Chicago
South Pittsburg,TN,35.0111,-85.7183,5439,America/Chicago
Eaton Rapids,MI,42.5092,-84.6530,5439,America/Detroit
Springhill,LA,33.0019,-93.4613,5444,America/Chicago
Colby,KS,39.3843,-101.0459,5445,America/Chicago
Centerville,IA,40.7294,-92.8718,5445,America/Chicago
Jamul,CA,32.7184,-116.8709,5445,America/Los_Angeles
East Moriches,NY,40.8097,-72.7581,5445,America/New_York
Carlisle,OH,39.5807,-84.3201,5446,America/New_York
Terrell Hills,TX,29.4771,-98.4472,5447,America/Chicago
Jim Thorpe,PA,40.8712,-75.7433,5449,America/New_York
Waipio Acres,HI,21.4689,-158.0173,5451,Pacific/Honolulu
Adel,IA,41.6121,-94.0129,5455,America/Chicago
Woodside,CA,37.4222,-122.2591,5458,America/Los_Angeles
Pana,IL,39.3828,-89.0642,5463,America/Chicago
Cameron,TX,30.8608,-96.9762,5464,America/Chicago
New Holland,PA,40.1008,-76.0900,5464,America/New_York
Charleston,MO,36.9179,-89.3344,5468,America/Chicago
Williams,CA,39.1498,-122.1389,5469,America/Los_Angeles
Indian Wells,CA,33.7036,-116.3396,5470,America/Los_Angeles
Dulles Town Center,VA,39.0265,-77.4196,5475,America/New_York
Sparta,TN,35.9347,-85.4726,5476,America/Chicago
Somerdale,NJ,39.8454,-75.0218,5477,America/New_York
Peculiar,MO,38.7306,-94.4736,5478,America/Chicago
Muldrow,OK,35.4039,-94.5969,5478,America/Chicago
Breckenridge,TX,32.7566,-98.9125,5478,America/Chicago
Manteo,NC,35.9013,-75.6610,5482,America/New_York
Wolfforth,TX,33.5148,-102.0066,5486,America/Chicago
Fairview,NY,41.7320,-73.9139,5486,America/New_York
Kalaheo,HI,21.9159,-159.5236,5487,Pacific/Honolulu
Fort Plain,NY,42.9316,-74.6277,5488,America/New_York
Stokesdale,NC,36.2318,-79.9834,5489,America/New_York
Mena,AR,34.5812,-94.2369,5490,America/Chicago
Holdenville,OK,35.0836,-96.4004,5501,America/Chicago
Swartz Creek,MI,42.9626,-83.8260,5501,America/Detroit
Rockdale,TX,30.6542,-97.0089,5503,America/Chicago
Wellston,OH,39.1172,-82.5375,5507,America/New_York
Winston,OR,43.1200,-123.4242,5511,America/Los_Angeles
Elberton,GA,34.1064,-82.8705,5512,America/New_York
Kayenta,AZ,36.7144,-110.2589,5512,America/Denver
Sherwood Manor,CT,42.0125,-72.5660,5513,America/New_York
Carlinville,IL,39.2774,-89.8761,5514,America/Chicago
Baxley,GA,31.7643,-82.3508,5515,America/New_York
Santa Teresa,NM,31.8701,-106.6714,5515,America/Denver
Highland Lakes,AL,33.3970,-86.6497,5519,America/Chicago
Germantown,OH,39.6324,-84.3645,5519,America/New_York
Clare,MI,43.8258,-84.7630,5522,America/Detroit
Weiser,ID,44.2547,-116.9689,5524,America/Boise
Yosemite Lakes,CA,37.1885,-119.7723,5524,America/Los_Angeles
Palm Springs North,FL,25.9351,-80.3339,5525,America/New_York
Atlanta,TX,33.1136,-94.1672,5526,America/Chicago
Strawberry,CA,37.8925,-122.5078,5527,America/Los_Angeles
Falcon Heights,MN,44.9899,-93.1770,5528,America/Chicago
Shaw Heights,CO,39.8566,-105.0390,5529,America/Denver
Hidden Valley,IN,39.1673,-84.8444,5531,America/New_York
Colorado City,TX,32.3994,-100.8582,5533,America/Chicago
Weldon Spring,MO,38.7118,-90.6513,5533,America/Chicago
Pelham Manor,NY,40.8930,-73.8057,5534,America/New_York
Monticello,IL,40.0341,-88.5729,5534,America/Chicago
Zeeland,MI,42.8139,-86.0129,5536,America/Detroit
Forest,MS,32.3595,-89.4761,5536,America/Chicago
Anamosa,IA,42.1091,-91.2758,5537,America/Chicago
Waimanalo,HI,21.3421,-157.7303,5538,Pacific/Honolulu
Hidden Valley Lake,CA,38.8003,-122.5505,5539,America/Los_Angeles
Waterville,OH,41.5015,-83.7365,5539,America/New_York
Exeter,PA,41.3338,-75.8214,5541,America/New_York
Taylorsville,NC,35.9175,-81.1754,5544,America/New_York
Glencoe,MN,44.7699,-94.1512,5544,America/Chicago
Wappingers Falls,NY,41.5984,-73.9182,5544,America/New_York
Lake Park,GA,30.6852,-83.1875,5544,America/New_York
Ada,OH,40.7681,-83.8253,5544,America/New_York
Connell,WA,46.6622,-118.8404,5545,America/Los_Angeles
Belmar,NJ,40.1798,-74.0255,5545,America/New_York
Buckner,KY,38.3867,-85.4503,5545,America/New_York
Berryville,AR,36.3713,-93.5704,5550,America/Chicago
Vinita,OK,36.6364,-95.1770,5550,America/Chicago
Ceiba,PR,18.2650,-65.6488,5551,America/Puerto_Rico
Nashville,NC,35.9692,-77.9555,5554,America/New_York
Leadville,CO,39.2473,-106.2934,5554,America/Denver
Tracyton,WA,47.6095,-122.6533,5556,America/Los_Angeles
Duquesne,PA,40.3732,-79.8502,5557,America/New_York
Preston,ID,42.0989,-111.8799,5557,America/Boise
Stroudsburg,PA,40.9838,-75.1972,5558,America/New_York
Frankenmuth,MI,43.3321,-83.7395,5560,America/Detroit
Eureka,IL,40.7148,-89.2775,5560,America/Chicago
Lake Bluff,IL,42.2826,-87.8510,5562,America/Chicago
Waterford,WI,42.7646,-88.2160,5562,America/Chicago
Slinger,WI,43.3318,-88.2799,5565,America/Chicago
Deer Park,OH,39.2039,-84.3977,5566,America/New_York
New Carlisle,OH,39.9446,-84.0257,5568,America/New_York
Siesta Key,FL,27.2779,-82.5516,5573,America/New_York
Bessemer City,NC,35.2841,-81.2830,5577,America/New_York
Islip Terrace,NY,40.7506,-73.1872,5579,America/New_York
Marlin,TX,31.3085,-96.8934,5581,America/Chicago
Oxford,PA,39.7858,-75.9801,5581,America/New_York
Tonganoxie,KS,39.1083,-95.0829,5583,America/Chicago
Warren,AR,33.6113,-92.0677,5587,America/Chicago
Palmview South,TX,26.2164,-98.3780,5589,America/Chicago
Honesdale,PA,41.5774,-75.2524,5589,America/New_York
Semmes,AL,30.7941,-88.2358,5594,America/Chicago
Linton,IN,39.0356,-87.1586,5596,America/Indiana/Indianapolis
Rusk,TX,31.7978,-95.1491,5602,America/Chicago
Mansfield,LA,32.0355,-93.7004,5604,America/Chicago
Lackland AFB,TX,29.3867,-98.6179,5606,America/Chicago
Elverta,CA,38.7185,-121.4455,5606,America/Los_Angeles
Blaine,WA,48.9839,-122.7414,5607,America/Los_Angeles
Cottleville,MO,38.7513,-90.6582,5608,America/Chicago
Bowling Green,MO,39.3447,-91.2032,5608,America/Chicago
Lake Delton,WI,43.5932,-89.7842,5609,America/Chicago
Dayton,KY,39.1127,-84.4640,5609,America/New_York
Kingstree,SC,33.6665,-79.8292,5610,America/New_York
Anna,IL,37.4612,-89.2388,5610,America/Chicago
Jonesborough,TN,36.2959,-82.4766,5611,America/New_York
Groveport,OH,39.8585,-82.8978,5621,America/New_York
Olivarez,TX,26.2285,-97.9931,5621,America/Chicago
Willow Springs,IL,41.7332,-87.8859,5621,America/Chicago
Oreland,PA,40.1148,-75.1801,5625,America/New_York
Milton,WI,42.7751,-88.9430,5627,America/Chicago
Alva,OK,36.7892,-98.6648,5628,America/Chicago
Lakehills,TX,29.6237,-98.9448,5631,America/Chicago
Samsula-Spruce Creek,FL,29.0484,-81.0628,5637,America/New_York
Zephyrhills South,FL,28.2152,-82.1886,5637,America/New_York
Wyndmoor,PA,40.0856,-75.1941,5638,America/New_York
Byron,MN,44.0379,-92.6411,5639,America/Chicago
Pontoon Beach,IL,38.7208,-90.0609,5641,America/Chicago
Corydon,IN,38.2130,-86.1257,5645,America/Kentucky/Louisville
Starke,FL,29.9474,-82.1129,5647,America/New_York
East Flat Rock,NC,35.2802,-82.4171,5647,America/New_York
Dandridge,TN,36.0285,-83.4308,5647,America/New_York
Cambria,CA,35.5523,-121.0847,5647,America/Los_Angeles
Surfside,FL,25.8787,-80.1250,5651,America/New_York
Paoli,PA,40.0420,-75.4912,5651,America/New_York
Richmond,MO,39.2755,-93.9731,5653,America/Chicago
